state,city
District of Columbia, Washington
Alabama,Montgomery
Alaska,Juneau
Arizona,Phoenix
Arkansas,Little Rock
California,Sacramento
Colorado,Denver
Connecticut,Hartford
Delaware,Dover
Florida,Tallahassee
Georgia,Atlanta
Hawaii,Honolulu
Idaho,Boise
Illinois,Springfield
Indiana,Indianapolis
Iowa,Des Moines
Kansas,Topeka
Kentucky,Frankfort
Louisiana,Baton Rouge
Maine,Augusta
Maryland,Annapolis
Massachusetts,Boston
Michigan,Lansing
Minnesota,Saint Paul
Mississippi,Jackson
Missouri,Jefferson City
Montana,Helena
Nebraska,Lincoln
Nevada,Carson City
New Hampshire,Concord
New Jersey,Trenton
New Mexico,Santa Fe
New York,Albany
North Carolina,Raleigh
North Dakota,Bismarck
Ohio,Columbus
Oklahoma,Oklahoma City
Oregon,Salem
Pennsylvania,Harrisburg
Rhode Island,Providence
South Carolina,Columbia
South Dakota,Pierre
Tennessee,Nashville
Texas,Austin
Utah,Salt Lake City
Vermont,Montpelier
Virginia,Richmond
Washington,Olympia
West Virginia,Charleston
Wisconsin,Madison
Wyoming,Cheyenne
Alberta,Edmonton
British Columbia,Victoria
Manitoba,Winnipeg
New Brunswick,Fredericton
Newfoundland and Labrador,St. John's
Nova Scotia,Halifax
Ontario,Toronto
Prince Edward Island,Charlottetown
Quebec,Quebec City
Saskatchewan,Regina
Yukon,Whitehorse
Nunavut,Iqaluit
Northwest Territories,Yellowknife
Aguascalientes,Aguascalientes
Baja California,Mexicali
Baja California Sur,La Paz
Campeche,San Francisco de Campeche
Chiapas,Tuxtla Gutierrez
Mexico City,Mexico City
Chihuahua,Chihuahua
Coahuila,Saltillo
Colima,Colima
Durango,Victoria de Durango
Guanajuato,Guanajuato
Guerrero,Chilpancingo de los Bravo
Hidalgo,Pachuca
Jalisco,Guadalajara
México,Toluca de Lerdo
Michoacán,Morelia
Morelos,Cuernavaca
Nayarit,Tepic
Nuevo Leon,Monterrey
Oaxaca,Oaxaca de Juarez
Puebla,Puebla de Zaragoza
Queretaro,Santiago de Querétaro
Quintana Roo,Chetumal
San Luis Potosi,San Luis Potosi
Sinaloa,Culiacán
Sonora,Hermosillo
Tabasco,Villahermosa
Tamaulipas,Ciudad Victoria
Tlaxcala,Tlaxcala
Veracruz,Xalapa
Yucatán,Mérida
Zacatecas,Zacatecas
